id,exp_date,exp_desc,amount,exp_month,exp_year,recurring,recurring_period,category_id,recurring_start,user_id,created_on,updated_on
1,,Aviva Group Term Life Insurance,9.27,1,2019,TRUE,M,1,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
2,,Accident Plan,13.65,1,2019,TRUE,M,1,,1,28/3/2022 0:00,28/6/2022 0:00
3,,Estimated Food Exepnse,200,1,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
4,,NTUC Income,40,1,2019,TRUE,M,1,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
5,,Allowance to Parents,500,1,2019,TRUE,M,3,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
6,,Starhub Phone Bill,24.95,1,2019,TRUE,M,2,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
7,,Hospitalization Plan (Sept),26.83,1,2019,TRUE,M,1,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
8,1/2/2019 0:00,Lunch,5.3,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
9,1/2/2019 0:00,Dinner,8.95,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
10,2/2/2019 0:00,MRT to Town,2,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
11,2/2/2019 0:00,Dim Sum Brunch,10,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
12,2/2/2019 0:00,Dinner,19,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
13,2/2/2019 0:00,Cab Back Home,20,2,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
14,2/2/2019 0:00,Wine + Club,111,2,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
15,3/2/2019 0:00,Breakfast,3.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
16,3/2/2019 0:00,Lunch,4.3,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
17,3/2/2019 0:00,Dinner,5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
18,3/2/2019 0:00,MRT,4,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
19,4/2/2019 0:00,Lunch,4.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
20,5/2/2019 0:00,MRT,5,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
21,5/2/2019 0:00,KFC Lunch,10.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
22,6/2/2019 0:00,MRT,5,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
23,6/2/2019 0:00,Lunch,6,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
24,6/2/2019 0:00,Snacks,2.35,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
25,7/2/2019 0:00,MRT,4,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
26,7/2/2019 0:00,Sofa,100,2,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
27,7/2/2019 0:00,Lunch,4,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
28,7/2/2019 0:00,Dinner,4,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
29,8/2/2019 0:00,Lunch,3.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
30,9/2/2019 0:00,Dinner,14,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
31,9/2/2019 0:00,Wave House,20,2,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
32,9/2/2019 0:00,Gambling,10,2,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
33,10/2/2019 0:00,MRT/Bus,5,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
34,10/2/2019 0:00,Lunch,5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
35,11/2/2019 0:00,MRT,2,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
36,11/2/2019 0:00,Cab to Buffet,7,2,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
37,11/2/2019 0:00,Breakfast,2.2,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
38,11/2/2019 0:00,Lunch,4,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
39,12/2/2019 0:00,Dinner,5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
40,12/2/2019 0:00,Breakfast,1.8,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
41,12/2/2019 0:00,Lunch,3.8,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
42,13/2/2019 0:00,Breakfast,1.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
43,13/2/2019 0:00,MRT,3.5,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
44,13/2/2019 0:00,Dinner,14,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
45,14/2/2019 0:00,Breakfast,1.8,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
46,14/2/2019 0:00,Lunch,2.3,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
47,14/2/2019 0:00,Dinner,3.8,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
48,15/2/2019 0:00,MRT/Bus,3,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
49,15/2/2019 0:00,Starbucks Tea,5.1,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
50,15/2/2019 0:00,Beer + Dinner,32,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
51,15/2/2019 0:00,Lunch,4.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
52,15/2/2019 0:00,Home,35,2,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
53,16/2/2019 0:00,MRT/Bus,5,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
54,17/2/2019 0:00,MRT/Bus,4,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
55,17/2/2019 0:00,Dinner,12.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
56,17/2/2019 0:00,Lunch,5.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
57,18/2/2019 0:00,MRT home,2,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
58,18/2/2019 0:00,Breakfast,2.2,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
59,18/2/2019 0:00,Lunch,3.9,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
60,18/2/2019 0:00,Dinner,5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
61,19/2/2019 0:00,Bus Home,0.8,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
62,19/2/2019 0:00,Breakfast,1.9,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
63,19/2/2019 0:00,Lunch,3.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
64,20/2/2019 0:00,Lunch,2.6,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
65,20/2/2019 0:00,Dinner,7.2,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
66,20/2/2019 0:00,MRT,2,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
67,21/2/2019 0:00,Breakfast,1.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
68,22/2/2019 0:00,Check up,535,2,2019,FALSE,,1,,1,28/3/2022 0:00,28/6/2022 0:00
69,22/2/2019 0:00,Breakfast,1.8,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
70,22/2/2019 0:00,MRT/Bus,7,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
71,22/2/2019 0:00,Lunch,6.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
72,22/2/2019 0:00,Starbucks Tea,5.1,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
73,22/2/2019 0:00,Dinner,8.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
74,23/2/2019 0:00,Bus Home,0.8,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
75,23/2/2019 0:00,Underwear,11.82,2,2019,FALSE,,2,,1,28/3/2022 0:00,28/6/2022 0:00
76,24/2/2019 0:00,Bus Home,4,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
77,24/2/2019 0:00,Lunch,4.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
78,24/2/2019 0:00,Underwear,13.52,2,2019,FALSE,,2,,1,28/3/2022 0:00,28/6/2022 0:00
79,25/2/2019 0:00,Breakfast/Lunch,3.2,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
80,25/2/2019 0:00,Dinner,5.2,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
81,26/2/2019 0:00,Breakfast,2.2,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
82,26/2/2019 0:00,Lunch,7,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
83,4/2/2019 0:00,Ang Pow,160,2,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
84,13/2/2019 0:00,Lunch,4,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
85,26/2/2019 0:00,Dinner,3.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
86,27/2/2019 0:00,Breakfast,2.2,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
87,27/2/2019 0:00,Lunch,3.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
88,27/2/2019 0:00,Dinner,4,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
89,28/2/2019 0:00,Breakfast,2.5,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
90,28/2/2019 0:00,Lunch,4,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
91,28/2/2019 0:00,Bus Home,0.8,2,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
92,,Aviva Group Term Life Insurance,9.27,2,2019,TRUE,M,1,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
93,,Accident Plan,13.65,2,2019,TRUE,M,1,,1,28/3/2022 0:00,28/6/2022 0:00
94,,Accident Plan (April 2019),13.65,2,2019,TRUE,M,1,1/4/2019,1,28/3/2022 0:00,28/6/2022 0:00
95,,Estimated Food Out Expense,400,2,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
96,,NTUC Income,40,2,2019,TRUE,M,1,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
97,,Allowance to Parents,500,2,2019,TRUE,M,3,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
98,17/3/2019 0:00,MRT/Bus,5,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
99,,Starhub Phone Bill,24.95,2,2019,TRUE,M,2,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
100,,Hospitalization Plan (Sept),26.83,2,2019,TRUE,M,1,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
101,1/3/2019 0:00,Snacks,13.9,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
102,1/3/2019 0:00,Bus,3.2,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
103,1/3/2019 0:00,Lunch,14.65,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
104,2/3/2019 0:00,Burrito,6.8,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
105,2/3/2019 0:00,Bus,1.6,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
106,3/3/2019 0:00,Lunch,5.2,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
107,3/3/2019 0:00,Bus,4.5,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
